,Organisation Name,OrgUrls,Desc,Technologies,Topic,Organisation site,number of Projects
0, Software and Computational Systems Lab at LMU Munich ,https://summerofcode.withgoogle.com//programs/2023/organizations/software-and-computational-systems-lab-at-lmu-munich,"Software Verification, SAT & SMT solving","python, java","software verification, benchmarking, program analysis, formal methods, SAT & SMT solving",https://www.sosy-lab.org/,4
1, Pharo Consortium ,https://summerofcode.withgoogle.com//programs/2023/organizations/pharo-consortium,Modern and innovative programming language,"git, smalltalk, pharo, spec, SUnit","machine learning, programming languages, ai, virtual machines, Modelling",https://pharo.org/,6
2, checkstyle ,https://summerofcode.withgoogle.com//programs/2023/organizations/checkstyle,Helps to adheres of Java coding standard,"java, antlr","static code analysis, code review tool, coding standards, coding conventions",https://checkstyle.org,2
3, Scalable Parallel Computing Laboratory ,https://summerofcode.withgoogle.com//programs/2023/organizations/scalable-parallel-computing-laboratory,High-performance computing for clusters and clouds,"python, c++, mpi, aws, Serverless","programming languages, high-performance computing, parallel computing, Serverless Computing, faas",https://spcl.inf.ethz.ch/,2
4, omegaUp ,https://summerofcode.withgoogle.com//programs/2023/organizations/omegaup,Open CS Education as a catalyst for social change,"python, mysql, php, typescript, vue.js","education, web, cloud, edtech, UX/UI",https://omegaup.org,3
5, mlpack ,https://summerofcode.withgoogle.com//programs/2023/organizations/mlpack,"a fast, flexible machine learning library","c++, C++ template metaprogramming","machine learning, embedded, ai, deep learning, Neural networks",https://www.mlpack.org,3
6, CHIPS Alliance ,https://summerofcode.withgoogle.com//programs/2023/organizations/chips-alliance,"Open source IP, tools & standards for ASIC/FPGA","fpga, chisel, risc-v, systemverilog, ASIC","soc, IP cores, ASIC design, HDL, chiplets",https://chipsalliance.org/,4
7, Haiku ,https://summerofcode.withgoogle.com//programs/2023/organizations/haiku,Operating system that targets personal computing.,"c++, posix, unix","desktop, kernel, network, media, gui",https://www.haiku-os.org,3
8, Scala Center ,https://summerofcode.withgoogle.com//programs/2023/organizations/scala-center,Guide and support the Scala community,"scala, scala.js, scala native","education, compilers, tooling",https://scala-lang.org/,6
9, cBioPortal for Cancer Genomics ,https://summerofcode.withgoogle.com//programs/2023/organizations/cbioportal-for-cancer-genomics,Aid discovery in complex cancer genomics data,"mysql, javascript, java, react, typescript","genomics, cancer, bioinformatics, big data, precision medicine",https://www.cbioportal.org/,6
10, AFLplusplus ,https://summerofcode.withgoogle.com//programs/2023/organizations/aflplusplus,State of the art fuzzing for better security,"llvm, rust, fuzzing, qemu","fuzzing, ci",https://aflplus.plus,2
11, The Linux Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/the-linux-foundation,Non-profit consortium fostering growth of Linux,"c, linux, c++, cups, ipp","kernel, automotive, printing, iio, zephyr",http://www.linuxfoundation.org/,10
12, Qdrant ,https://summerofcode.withgoogle.com//programs/2023/organizations/qdrant,Vector Search Database for the new AI generation.,"python, javascript, rust","databases, machine learning, Search Engines",https://qdrant.tech,2
13," Stratosphere Laboratory, Czech Technical University in Prague ",https://summerofcode.withgoogle.com//programs/2023/organizations/stratosphere-laboratory-czech-technical-university-in-prague,Using machine learning and security to help others,"python, redis, docker, textual","machine learning, network security, civil society, Security Defense",https://www.stratosphereips.org/,1
14, PEcAn Project ,https://summerofcode.withgoogle.com//programs/2023/organizations/pecan-project,Develop and promote tools for ecosystem modeling,"r, docker, api, geospatial","data science, ecosystem models, scientific visualization, climate science, Ecological Forecasting,",https://pecanproject.github.io/,4
15, Internet Archive ,https://summerofcode.withgoogle.com//programs/2023/organizations/internet-archive,Universal Access to All Knowledge,"python, javascript, go, elasticsearch, hadoop","library, media, archiving",http://archive.org,5
16, CNCF ,https://summerofcode.withgoogle.com//programs/2023/organizations/cncf,Building sustainable ecosystems for cloud native,"prometheus, kubernetes, OpenTelemetry, envoy","cloud, cloud native, observability",https://cncf.io,14
17, Invesalius ,https://summerofcode.withgoogle.com//programs/2023/organizations/invesalius,3D Medical visualization and neuronavigation tool,"python, cython, numpy, dicom, Vtk","ehealth, medical imaging, 3D Reconstruction, 3d printing, Neuronavigation",https://invesalius.github.io/,2
18, PostgreSQL ,https://summerofcode.withgoogle.com//programs/2023/organizations/postgresql,The Most Advanced Open Source Relational Database,"c, python, postgresql, javascript, go","web, database, ui, sql, Benchmark",https://postgresql.org,12
19, Apertium ,https://summerofcode.withgoogle.com//programs/2023/organizations/apertium,A free/open-source machine translation platform,"python, javascript, c++, xml, bash","natural language processing, machine translation, language technology, less-resources languages",https://apertium.org/,5
20, Jenkins ,https://summerofcode.withgoogle.com//programs/2023/organizations/jenkins-wp,"Jenkins, build great things at any scale","javascript, java, go, docker, kubernetes","developer tools, automation, continuous integration, continuous delivery, devops",https://jenkins.io/,4
21," Department of Biomedical Informatics, Emory University ",https://summerofcode.withgoogle.com//programs/2023/organizations/department-of-biomedical-informatics-emory-university,Biomedical research to advance healthcare,"python, javascript, java, dicom, Colab","science and medicine, data integration, workflows, radiology, ML/AL",https://med.emory.edu/departments/biomedical-informatics/,5
