,Organisation Name,OrgUrls,desc,tech,topic,site,number of Projects
0, Alaska ,https://summerofcode.withgoogle.com//programs/2024/organizations/alaska,"Many Traditions, One Alaska","python, mysql, java, matlab, dicom","deep learning, neuroscience, radiology, heathcare, Polar Science",https://www.uaa.alaska.edu/research,4
1, City of Boston ,https://summerofcode.withgoogle.com//programs/2024/organizations/city-of-boston,Empowering Boston's residents through technology,"python, javascript","web, machine learning, gis, civic tech, analytics",https://boston.gov/departments/innovation-and-technology,4
2, Liquid Galaxy project ,https://summerofcode.withgoogle.com//programs/2024/organizations/liquid-galaxy-project,We code immersive and interactive aps with G Earth,"linux, android, nodejs, flutter, Google Earth","visualization, artificial intelligence, networking, maps, ux",https://www.liquidgalaxy.eu,12
3, Joplin ,https://summerofcode.withgoogle.com//programs/2024/organizations/joplin,The secure note taking application,"javascript, react, typescript, electron, React-Native","database, search, synchronisation, note-taking, office",https://github.com/laurent22/joplin,5
4, Red Hen Lab ,https://summerofcode.withgoogle.com//programs/2024/organizations/red-hen-lab,Research on Multimodal Communication,"python, machine learning, nlp, ai, data science","data science, ai, language, multimodal communication, gesture",http://www.redhenlab.org,12
5, Global Alliance for Genomics and Health ,https://summerofcode.withgoogle.com//programs/2024/organizations/global-alliance-for-genomics-and-health,We develop genomics tools to benefit human health,"python, postgresql, java, react, rust","web, genomics, bioinformatics, genetics, standards",https://ga4gh.org,6
6, GNU Radio ,https://summerofcode.withgoogle.com//programs/2024/organizations/gnu-radio,The free & open software radio ecosystem,"python, c++, qt, simd","real-time, dsp, communications engineering, cybersecurity, Software-Defined Radio",https://www.gnuradio.org,2
7, Haiku ,https://summerofcode.withgoogle.com//programs/2024/organizations/haiku,Operating system that targets personal computing.,"c++, posix, unix","desktop, kernel, network, media, gui",https://www.haiku-os.org,5
8, TARDIS RT Collaboration ,https://summerofcode.withgoogle.com//programs/2024/organizations/tardis-rt-collaboration,Exploring supernovae made easy,"python, numba, numpy, jupyter, pandas","visualization, big data, simulation, astrophysics",https://tardis-sn.github.io,3
9, Sugar Labs ,https://summerofcode.withgoogle.com//programs/2024/organizations/sugar-labs,Learning software for children,"python, gtk, typescript, javascipt","education, games, desktop",https://sugarlabs.org,11
10, LibreCube Initiative ,https://summerofcode.withgoogle.com//programs/2024/organizations/librecube-initiative,Open Source Space Exploration,"python, rest api, micropython","automation, space, Communication Protocols, Rover",https://librecube.org,4
11, GNU Octave ,https://summerofcode.withgoogle.com//programs/2024/organizations/gnu-octave,Free Your Numbers,"c++, hg","mathematics, scientific computing, numerical computation, numerical methods, matlab",https://www.octave.org,3
12, The Julia Language ,https://summerofcode.withgoogle.com//programs/2024/organizations/the-julia-language,A fresh approach to technical computing,"machine learning, julia, data science, compilers, garbage-collection","math, machine learning, science, data science, graphs",https://julialang.org,20
